tick,sigil_id,entropy,type
1000,sigil_0,0.1,type_0
1001,sigil_1,0.10800000000000001,type_1
1002,sigil_2,0.116,type_2
1003,sigil_3,0.124,type_0
1004,sigil_4,0.132,type_1
1005,sigil_5,0.14,type_2
1006,sigil_6,0.14800000000000002,type_0
1007,sigil_7,0.156,type_1
1008,sigil_0,0.164,type_2
1009,sigil_1,0.17200000000000001,type_0
1010,sigil_2,0.18,type_1
1011,sigil_3,0.188,type_2
1012,sigil_4,0.196,type_0
1013,sigil_5,0.20400000000000001,type_1
1014,sigil_6,0.21200000000000002,type_2
1015,sigil_7,0.22,type_0
1016,sigil_0,0.228,type_1
1017,sigil_1,0.23600000000000002,type_2
1018,sigil_2,0.24400000000000002,type_0
1019,sigil_3,0.252,type_1
1020,sigil_4,0.26,type_2
1021,sigil_5,0.268,type_0
1022,sigil_6,0.276,type_1
1023,sigil_7,0.28400000000000003,type_2
1024,sigil_0,0.29200000000000004,type_0
1025,sigil_1,0.30000000000000004,type_1
1026,sigil_2,0.30800000000000005,type_2
1027,sigil_3,0.316,type_0
1028,sigil_4,0.324,type_1
1029,sigil_5,0.332,type_2
1030,sigil_6,0.33999999999999997,type_0
1031,sigil_7,0.348,type_1
1032,sigil_0,0.356,type_2
1033,sigil_1,0.364,type_0
1034,sigil_2,0.372,type_1
1035,sigil_3,0.38,type_2
1036,sigil_4,0.388,type_0
1037,sigil_5,0.396,type_1
1038,sigil_6,0.404,type_2
1039,sigil_7,0.41200000000000003,type_0
1040,sigil_0,0.42000000000000004,type_1
1041,sigil_1,0.42800000000000005,type_2
1042,sigil_2,0.43600000000000005,type_0
1043,sigil_3,0.44400000000000006,type_1
1044,sigil_4,0.45199999999999996,type_2
1045,sigil_5,0.45999999999999996,type_0
1046,sigil_6,0.46799999999999997,type_1
1047,sigil_7,0.476,type_2
1048,sigil_0,0.484,type_0
1049,sigil_1,0.492,type_1
1050,sigil_2,0.5,type_2
1051,sigil_3,0.508,type_0
1052,sigil_4,0.516,type_1
1053,sigil_5,0.524,type_2
1054,sigil_6,0.532,type_0
1055,sigil_7,0.54,type_1
1056,sigil_0,0.548,type_2
1057,sigil_1,0.556,type_0
1058,sigil_2,0.5640000000000001,type_1
1059,sigil_3,0.5720000000000001,type_2
1060,sigil_4,0.58,type_0
1061,sigil_5,0.588,type_1
1062,sigil_6,0.596,type_2
1063,sigil_7,0.604,type_0
1064,sigil_0,0.612,type_1
1065,sigil_1,0.62,type_2
1066,sigil_2,0.628,type_0
1067,sigil_3,0.636,type_1
1068,sigil_4,0.644,type_2
1069,sigil_5,0.652,type_0
1070,sigil_6,0.66,type_1
1071,sigil_7,0.668,type_2
1072,sigil_0,0.676,type_0
1073,sigil_1,0.6839999999999999,type_1
1074,sigil_2,0.692,type_2
1075,sigil_3,0.7,type_0
1076,sigil_4,0.708,type_1
1077,sigil_5,0.716,type_2
1078,sigil_6,0.724,type_0
1079,sigil_7,0.732,type_1
1080,sigil_0,0.74,type_2
1081,sigil_1,0.748,type_0
1082,sigil_2,0.756,type_1
1083,sigil_3,0.764,type_2
1084,sigil_4,0.772,type_0
1085,sigil_5,0.78,type_1
1086,sigil_6,0.788,type_2
1087,sigil_7,0.796,type_0
1088,sigil_0,0.8039999999999999,type_1
1089,sigil_1,0.8119999999999999,type_2
1090,sigil_2,0.82,type_0
1091,sigil_3,0.828,type_1
1092,sigil_4,0.836,type_2
1093,sigil_5,0.844,type_0
1094,sigil_6,0.852,type_1
1095,sigil_7,0.86,type_2
1096,sigil_0,0.868,type_0
1097,sigil_1,0.876,type_1
1098,sigil_2,0.884,type_2
1099,sigil_3,0.892,type_0
