2025-05-27T02:33:34.239572,seed-∆2143FJ,unspecified,0.42,None,7,reflective
2025-05-27T02:34:13.125361,seed-∆test,unspecified,0.336724050737875,None,1,resilient
2025-05-27T02:34:26.645667,seed-∆test,unspecified,0.336724050737875,None,2,resilient
2025-05-27T02:39:59.789204,seed-∆2143FJ,unspecified,0.42,None,7,reflective
2025-05-27T02:40:36.771406,seed-∆test,unspecified,0.4460861232798694,None,1,resilient
2025-05-27T02:40:51.309321,seed-∆test,unspecified,0.4460861232798694,None,2,resilient
2025-05-27T03:04:53.752301,seed-∆2143FJ,unspecified,0.42,None,7,reflective
2025-05-27T03:05:30.069048,seed-∆test,unspecified,0.5434998810956835,None,1,resilient
2025-05-27T03:05:43.583492,seed-∆test,unspecified,0.5434998810956835,None,2,resilient
2025-05-27T03:08:05.782058,seed-∆2143FJ,unspecified,0.42,None,7,reflective
2025-05-27T03:08:42.694823,seed-∆test,unspecified,0.4049275523346953,None,1,resilient
2025-05-27T03:08:55.840351,seed-∆test,unspecified,0.4049275523346953,None,2,resilient
